               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063828,            0.033399,            0.065163,              0.9554,            0.028066,            0.031473,            0.017277,            0.040971,            0.015942,             0.03523,            0.070053,           0.0033274,           0.0033274
                   1,            0.045743,            0.026845,             0.03768,              0.9725,             0.03562,             0.04175,            0.020554,            0.040612,             0.01428,            0.026297,            0.039921,           0.0065289,           0.0065289
                   2,            0.043337,            0.025105,            0.030028,             0.89893,            0.074631,            0.070576,            0.037835,              0.0347,            0.013693,            0.022161,           0.0096574,           0.0095983,           0.0095983
                   3,            0.039107,            0.025062,             0.02585,             0.88118,            0.093314,             0.08624,            0.051649,            0.031878,            0.013075,            0.019842,            0.009406,            0.009406,            0.009406
                   4,            0.036087,            0.024504,             0.02251,             0.88411,             0.12093,             0.10227,            0.060861,            0.029582,            0.012854,            0.017094,            0.009406,            0.009406,            0.009406
                   5,            0.033874,              0.0232,            0.019229,             0.90816,             0.13065,             0.11914,            0.074057,            0.027322,            0.012191,             0.01491,            0.009208,            0.009208,            0.009208
                   6,              0.0321,            0.022717,            0.016931,             0.91075,             0.13905,              0.1227,            0.075705,            0.027186,            0.011965,            0.013376,             0.00901,             0.00901,             0.00901
                   7,            0.030413,            0.022071,            0.015695,             0.91403,              0.1458,              0.1252,             0.08542,            0.024178,            0.011175,            0.012129,            0.008812,            0.008812,            0.008812
                   8,            0.029906,            0.021931,            0.015046,              0.9028,             0.13635,             0.12209,            0.076233,            0.025994,            0.011572,            0.013599,            0.008614,            0.008614,            0.008614
                   9,             0.02887,            0.021633,            0.014131,             0.91704,             0.14857,             0.13344,            0.090515,            0.023057,             0.01123,            0.011465,            0.008416,            0.008416,            0.008416
                  10,            0.028025,            0.021109,            0.013673,             0.91216,             0.16211,             0.14275,             0.10008,            0.021736,            0.010313,             0.01075,            0.008218,            0.008218,            0.008218
                  11,            0.027075,             0.02008,            0.012189,             0.92398,             0.13992,             0.14182,            0.098792,            0.022455,            0.010364,            0.010409,             0.00802,             0.00802,             0.00802
                  12,            0.026405,            0.019846,            0.011646,             0.92522,              0.1505,             0.14424,              0.1017,            0.020492,            0.010282,           0.0097354,            0.007822,            0.007822,            0.007822
                  13,            0.025577,             0.01938,            0.011024,             0.92561,             0.15624,             0.14142,             0.10063,            0.020782,            0.010177,           0.0095377,            0.007624,            0.007624,            0.007624
                  14,            0.025024,            0.019101,            0.010603,             0.92061,             0.15246,             0.14739,             0.10528,            0.020389,           0.0099058,            0.008891,            0.007426,            0.007426,            0.007426
                  15,            0.024171,            0.018092,            0.009556,             0.92937,             0.15488,             0.14959,             0.10876,            0.019647,           0.0097574,           0.0083048,            0.007228,            0.007228,            0.007228
                  16,            0.023739,            0.017907,           0.0090501,             0.92135,             0.15802,             0.14967,             0.10766,            0.019643,           0.0098776,           0.0084167,             0.00703,             0.00703,             0.00703
                  17,            0.023001,            0.017494,           0.0087096,             0.92507,             0.15615,             0.14757,             0.10655,            0.019314,           0.0097546,           0.0091686,            0.006832,            0.006832,            0.006832
                  18,            0.023297,             0.01847,           0.0093534,             0.93087,             0.15198,             0.14888,             0.10876,            0.018517,           0.0095417,           0.0076946,            0.006634,            0.006634,            0.006634
                  19,            0.022966,            0.018461,           0.0090193,             0.94334,             0.15935,             0.15668,             0.11305,            0.018198,           0.0093843,            0.007607,            0.006436,            0.006436,            0.006436
                  20,            0.022951,            0.018628,           0.0097173,             0.92494,             0.15988,             0.14791,             0.10709,            0.018623,           0.0095041,            0.007598,            0.006238,            0.006238,            0.006238
                  21,            0.022358,            0.018369,            0.008831,             0.93563,             0.15924,             0.15367,             0.11472,            0.018657,           0.0093001,           0.0074765,             0.00604,             0.00604,             0.00604
                  22,            0.022384,            0.018306,           0.0089604,             0.93699,             0.15647,             0.15328,             0.11263,            0.017967,           0.0091739,           0.0076833,            0.005842,            0.005842,            0.005842
                  23,            0.021961,            0.018123,           0.0086414,             0.92931,             0.15743,             0.15306,             0.11511,            0.017434,           0.0090233,           0.0073912,            0.005644,            0.005644,            0.005644
                  24,            0.021624,            0.017878,           0.0083933,             0.93064,             0.16515,             0.15624,             0.11687,             0.01714,           0.0091318,           0.0069808,            0.005446,            0.005446,            0.005446
                  25,            0.021122,            0.017764,           0.0081171,             0.93457,             0.16093,             0.15483,             0.11731,            0.017324,           0.0092144,           0.0071606,            0.005248,            0.005248,            0.005248
                  26,            0.020799,            0.017692,           0.0078573,             0.93886,             0.16515,             0.16407,               0.123,            0.016199,           0.0088855,           0.0072313,             0.00505,             0.00505,             0.00505
                  27,            0.020437,            0.017267,           0.0079234,              0.9368,             0.16122,              0.1634,             0.12435,            0.016054,           0.0087668,           0.0068673,            0.004852,            0.004852,            0.004852
                  28,            0.020245,             0.01695,           0.0073685,             0.93543,             0.16233,             0.15784,             0.11955,            0.016368,           0.0089079,           0.0067364,            0.004654,            0.004654,            0.004654
                  29,            0.019849,            0.016629,           0.0070532,             0.93535,             0.15643,             0.16167,             0.12265,            0.016204,           0.0087081,           0.0069324,            0.004456,            0.004456,            0.004456
