               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059662,            0.035238,            0.051065,              0.4273,              0.4452,             0.37349,             0.19513,            0.042463,            0.013006,            0.023183,            0.070052,           0.0033276,           0.0033276
                   1,            0.048432,            0.028656,            0.024392,             0.44545,             0.45997,             0.40322,             0.21409,            0.040936,            0.013757,            0.018851,             0.04003,           0.0066389,           0.0066389
                   2,             0.04733,            0.029867,            0.024665,             0.35766,             0.34715,             0.27018,             0.13372,            0.046142,            0.016683,            0.024295,            0.009986,           0.0099283,           0.0099283
                   3,            0.049358,            0.033463,            0.031629,             0.30073,             0.26485,              0.1976,            0.094377,            0.045771,            0.017049,            0.028367,            0.009901,            0.009901,            0.009901
                   4,            0.049554,            0.034056,            0.032228,             0.34962,             0.30289,             0.25839,             0.12265,            0.044421,            0.016246,            0.026093,            0.009901,            0.009901,            0.009901
                   5,            0.048184,            0.034194,            0.029879,             0.32625,              0.2901,             0.22978,             0.11015,            0.043023,            0.016393,            0.024746,            0.009868,            0.009868,            0.009868
                   6,            0.047032,            0.034429,            0.028666,             0.31835,             0.27223,             0.22503,             0.11493,            0.043248,            0.015976,             0.02482,            0.009835,            0.009835,            0.009835
                   7,            0.045633,            0.033292,             0.02677,             0.36653,             0.36111,             0.30215,             0.14907,            0.041416,            0.015766,            0.021512,            0.009802,            0.009802,            0.009802
                   8,            0.044761,            0.033089,            0.026784,             0.31719,             0.33064,             0.25279,              0.1347,            0.040709,            0.016266,            0.023901,            0.009769,            0.009769,            0.009769
                   9,            0.044608,            0.033081,            0.025481,               0.393,             0.33753,              0.3163,             0.16575,            0.040616,            0.015942,            0.021094,            0.009736,            0.009736,            0.009736
                  10,            0.044499,            0.033283,            0.025686,             0.33857,             0.34805,             0.29164,             0.15372,            0.040527,               0.016,             0.02226,            0.009703,            0.009703,            0.009703
                  11,            0.043495,            0.032553,            0.023752,             0.37562,              0.3745,             0.32377,             0.17868,            0.039632,            0.015494,            0.020649,             0.00967,             0.00967,             0.00967
                  12,            0.042676,            0.031808,            0.022728,             0.40056,             0.38752,             0.33861,             0.18388,              0.0396,             0.01534,            0.020686,            0.009637,            0.009637,            0.009637
                  13,            0.041853,            0.032427,            0.021898,             0.39105,             0.38385,             0.33516,             0.18324,             0.03874,            0.015345,            0.020128,            0.009604,            0.009604,            0.009604
                  14,            0.041264,            0.032018,            0.020949,             0.42804,             0.42645,             0.37495,             0.20805,            0.038446,            0.015274,            0.018984,            0.009571,            0.009571,            0.009571
                  15,            0.041438,            0.031982,            0.020838,             0.44205,              0.4155,             0.37657,             0.21454,            0.038365,            0.015296,             0.01794,            0.009538,            0.009538,            0.009538
                  16,            0.040142,            0.031929,            0.019712,             0.40771,             0.43186,             0.36542,             0.20567,            0.038177,            0.015231,            0.018697,            0.009505,            0.009505,            0.009505
                  17,            0.040324,            0.031058,            0.018908,             0.41866,             0.44001,              0.3805,             0.21987,            0.036796,            0.015209,            0.017236,            0.009472,            0.009472,            0.009472
                  18,            0.039697,            0.030383,            0.019266,             0.42461,             0.40129,               0.381,             0.21189,             0.03699,            0.015251,            0.018449,            0.009439,            0.009439,            0.009439
                  19,            0.039314,            0.031154,            0.018389,             0.44992,             0.46615,             0.40705,              0.2395,            0.036411,            0.014954,            0.016298,            0.009406,            0.009406,            0.009406
                  20,             0.03886,            0.030225,            0.018229,             0.45848,             0.45192,             0.42096,             0.24646,            0.037111,            0.014763,            0.017868,            0.009373,            0.009373,            0.009373
                  21,            0.038794,             0.03006,            0.017524,             0.43595,             0.45716,             0.40356,             0.23803,            0.036406,            0.014714,            0.016323,             0.00934,             0.00934,             0.00934
                  22,            0.038176,             0.02976,            0.016448,             0.43488,              0.4476,             0.39083,             0.22638,            0.037461,            0.015268,            0.018647,            0.009307,            0.009307,            0.009307
                  23,            0.037675,            0.029853,            0.016692,             0.44987,             0.48733,              0.4279,             0.25853,            0.035839,            0.014884,             0.01758,            0.009274,            0.009274,            0.009274
                  24,            0.037421,            0.029603,             0.01572,             0.43755,             0.46301,             0.39572,             0.23087,            0.036417,            0.014888,            0.016732,            0.009241,            0.009241,            0.009241
                  25,            0.037005,            0.029196,            0.015663,             0.47376,             0.49282,             0.44415,             0.26433,            0.035723,            0.014677,            0.016475,            0.009208,            0.009208,            0.009208
                  26,            0.037001,            0.029427,            0.014762,              0.4662,             0.44842,             0.42057,             0.25793,            0.036229,             0.01514,            0.017985,            0.009175,            0.009175,            0.009175
                  27,             0.03589,            0.028965,            0.014936,             0.45205,             0.48885,             0.41885,              0.2526,            0.034764,            0.014689,            0.016891,            0.009142,            0.009142,            0.009142
                  28,            0.036377,            0.029609,            0.015001,             0.47369,             0.48956,             0.44565,              0.2711,            0.034557,            0.014641,            0.015655,            0.009109,            0.009109,            0.009109
                  29,            0.036016,             0.02889,             0.01457,              0.4914,             0.51304,             0.46055,             0.28125,            0.034175,            0.014616,            0.015942,            0.009076,            0.009076,            0.009076
                  30,            0.035667,             0.02928,            0.013964,             0.50709,              0.5136,             0.47183,             0.29191,            0.034767,            0.014565,            0.016191,            0.009043,            0.009043,            0.009043
                  31,            0.034852,            0.028133,            0.013566,             0.49498,              0.5139,              0.4777,             0.29069,            0.035261,            0.014439,            0.016232,             0.00901,             0.00901,             0.00901
